x,y,date,city,country,venue,tour,year
-1.5479,53.7965,1990-09-12 00:00:00+00,Leeds,England,Irish Centre,1990 Fall European Tour,1990
139.691699,35.689495,1996-10-26 00:00:00+00,Tokyo,Japan,Guilty,1996 US/Japan/Hong Kong/Australia Tour,1996
-117.1573,32.715299,1999-02-18 00:00:00+00,San Diego,USA,Soma,1999 West Coast USA Tour,1999
-58.377201,-34.613198,1997-08-22 00:00:00+00,Buenos Aires,Argentina,Superclub,1997 Summer Brazil/South America Tour,1997
138.598599,-34.928695,1993-11-11 00:00:00+00,Adelaide,Australia,Dom Polski Hall,1993 Japan/Australia/New Zealand Tour,1993
138.598599,-34.928695,1996-11-12 00:00:00+00,Adelaide,Australia,Adelaide University,1996 US/Japan/Hong Kong/Australia Tour,1996
138.598599,-34.928695,1991-10-22 00:00:00+00,Adelaide,Australia,Le Rox Hotel,1991 Australia/New Zealand/Japan Tour,1991
143.849599,-37.566197,1997-06-19 00:00:00+00,Ballarat,Australia,Old YMCA,1997 Summer Australia/New Zealand Tour,1997
153.028097,-27.467895,1991-11-02 00:00:00+00,Brisbane,Australia,Funkyard,1991 Australia/New Zealand/Japan Tour,1991
153.028097,-27.467895,1993-11-27 00:00:00+00,Brisbane,Australia,Boulder Gallery,1993 Japan/Australia/New Zealand Tour,1993
153.028097,-27.467895,1997-06-21 00:00:00+00,Brisbane,Australia,Roxy,1997 Summer Australia/New Zealand Tour,1997
153.611896,-28.642001,1991-11-03 00:00:00+00,Byron Bay,Australia,Arts Factory,1991 Australia/New Zealand/Japan Tour,1991
149.128097,-35.2835,1997-06-13 00:00:00+00,Canberra,Australia,Anu Bar,1997 Summer Australia/New Zealand Tour,1997
149.128097,-35.2835,1993-11-17 00:00:00+00,Canberra,Australia,A.N.U. Bar,1993 Japan/Australia/New Zealand Tour,1993
149.128097,-35.2835,1991-10-23 00:00:00+00,Canberra,Australia,Youth Cafe,1991 Australia/New Zealand/Japan Tour,1991
151.116699,-33.883299,1991-10-19 00:00:00+00,Croydon,Australia,Croydon Hull,1991 Australia/New Zealand/Japan Tour,1991
151.116699,-33.883299,1993-11-12 00:00:00+00,Croydon,Australia,EV's,1993 Japan/Australia/New Zealand Tour,1993
130.841897,-12.461097,1997-06-25 00:00:00+00,Darwin,Australia,Time Tavern,1997 Summer Australia/New Zealand Tour,1997
144.360698,-38.147097,1991-10-17 00:00:00+00,Geelong,Australia,Ukranian Town Hall,1991 Australia/New Zealand/Japan Tour,1991
144.360698,-38.147097,1997-06-20 00:00:00+00,Geelong,Australia,Courthouse,1997 Summer Australia/New Zealand Tour,1997
153.4309,-28.000299,1991-11-01 00:00:00+00,Gold Coast,Australia,Playroom,1991 Australia/New Zealand/Japan Tour,1991
147.329399,-42.879398,1996-11-13 00:00:00+00,Hobart,Australia,Sapphire Ballroom,1996 US/Japan/Hong Kong/Australia Tour,1996
147.329399,-42.879398,1993-12-03 00:00:00+00,Hobart,Australia,Hellenic Hall,1993 Japan/Australia/New Zealand Tour,1993
147.1347,-41.438798,1993-12-04 00:00:00+00,Launceston,Australia,Windmill Hill War Memorial,1993 Japan/Australia/New Zealand Tour,1993
153.277298,-28.813496,1997-06-23 00:00:00+00,Lismore,Australia,Lismore Uni,1997 Summer Australia/New Zealand Tour,1997
153.277298,-28.813496,1993-11-26 00:00:00+00,Lismore,Australia,Italo Club,1993 Japan/Australia/New Zealand Tour,1993
151.288297,-33.797997,1991-10-26 00:00:00+00,Manly,Australia,Manly Youth Center,1991 Australia/New Zealand/Japan Tour,1991
151.288297,-33.797997,1993-11-19 00:00:00+00,Manly,Australia,Manly High School,1993 Japan/Australia/New Zealand Tour,1993
144.963296,-37.813995,1991-10-18 00:00:00+00,Melbourne,Australia,Melbourne Uni,1991 Australia/New Zealand/Japan Tour,1991
