objectid,x,y,date,city,country,venue,recorded,available,tour,regdates,the_geom,cartodb_id,created_at,updated_at,year
145,-1.5479,53.7965,1990-09-12 00:00:00+00,Leeds,England,Irish Centre,true,false,1990 Fall European Tour,0,0101000020E610000087A757CA32C4F8BFCBA145B6F3E54A40,145,2014-04-10 00:32:08.454146+00,2014-05-04 19:14:38.865666+00,1990
333,139.691699,35.689495,1996-10-26 00:00:00+00,Tokyo,Japan,Guilty,true,true,1996 US/Japan/Hong Kong/Australia Tour,0,0101000020E6100000A1F5F06522766140B5E0455F41D84140,333,2014-04-10 00:32:08.454146+00,2014-05-04 19:14:38.865666+00,1996
492,-117.1573,32.715299,1999-02-18 00:00:00+00,San Diego,USA,Soma,true,false,1999 West Coast USA Tour,0,0101000020E61000004BEA0434114A5DC046EEE9EA8E5B4040,492,2014-04-10 00:32:08.454146+00,2014-05-04 19:14:38.865666+00,1999
1,-58.377201,-34.613198,1997-08-22 00:00:00+00,Buenos Aires,Argentina,Superclub,false,false,1997 Summer Brazil/South America Tour,0,0101000020E61000005E82531F48304DC07EFCA5457D4E41C0,1,2014-04-10 00:32:08.454146+00,2014-05-04 19:14:38.865666+00,1997
2,138.598599,-34.928695,1993-11-11 00:00:00+00,Adelaide,Australia,Dom Polski Hall,true,false,1993 Japan/Australia/New Zealand Tour,0,0101000020E6100000630D17B927536140B77A4E7ADF7641C0,2,2014-04-10 00:32:08.454146+00,2014-05-04 19:14:38.865666+00,1993
3,138.598599,-34.928695,1996-11-12 00:00:00+00,Adelaide,Australia,Adelaide University,true,true,1996 US/Japan/Hong Kong/Australia Tour,0,0101000020E6100000630D17B927536140B77A4E7ADF7641C0,3,2014-04-10 00:32:08.454146+00,2014-05-04 19:14:38.865666+00,1996
4,138.598599,-34.928695,1991-10-22 00:00:00+00,Adelaide,Australia,Le Rox Hotel,true,false,1991 Australia/New Zealand/Japan Tour,0,0101000020E6100000630D17B927536140B77A4E7ADF7641C0,4,2014-04-10 00:32:08.454146+00,2014-05-04 19:14:38.865666+00,1991
5,143.849599,-37.566197,1997-06-19 00:00:00+00,Ballarat,Australia,Old YMCA,false,false,1997 Summer Australia/New Zealand Tour,0,0101000020E6100000DCF63DEA2FFB6140F20BAF2479C842C0,5,2014-04-10 00:32:08.454146+00,2014-05-04 19:14:38.865666+00,1997
6,153.028097,-27.467895,1991-11-02 00:00:00+00,Brisbane,Australia,Funkyard,true,false,1991 Australia/New Zealand/Japan Tour,0,0101000020E6100000B403AE2BE620634040F67AF7C7773BC0,6,2014-04-10 00:32:08.454146+00,2014-05-04 19:14:38.865666+00,1991
7,153.028097,-27.467895,1993-11-27 00:00:00+00,Brisbane,Australia,Boulder Gallery,true,false,1993 Japan/Australia/New Zealand Tour,0,0101000020E6100000B403AE2BE620634040F67AF7C7773BC0,7,2014-04-10 00:32:08.454146+00,2014-05-04 19:14:38.865666+00,1993
